type,time,bl,act_diff,ref_diff,ratio_raw,ratio_filt,baseline,rsp_raw,rsp_filt,abs_raw,abs_filt,temp_avg
PROC,6.625,0,56,62,0.9032,1.2333,1.0000,+0.00,+0.00,0.1017,-0.1978,474
PROC,6.875,0,48,54,0.8889,1.1644,1.0000,+0.00,+0.00,0.1176,-0.1347,372
PROC,7.125,0,20,46,0.4348,1.0185,1.0000,+0.00,+0.00,0.8327,0.0587,456
PROC,7.375,0,96,58,1.6552,1.1458,1.0000,+0.00,+0.00,-0.4935,-0.0517,568
PROC,7.625,0,111,56,1.9821,1.3131,1.0000,+0.00,+0.00,-0.6587,-0.1731,600
PROC,8.625,0,86,65,1.3231,1.3151,1.0000,+0.00,+0.00,-0.2781,-0.1941,513
PROC,8.875,0,116,79,1.4684,1.3457,1.0000,+0.00,+0.00,-0.3795,-0.2312,572
PROC,9.875,0,87,67,1.2985,1.3363,1.0000,+0.00,+0.00,-0.2597,-0.2369,523
PROC,10.125,0,115,82,1.4024,1.3495,1.0000,+0.00,+0.00,-0.3350,-0.2565,578
PROC,11.125,0,89,69,1.2899,1.3376,1.0000,+0.00,+0.00,-0.2532,-0.2559,525
PROC,11.375,0,117,81,1.4444,1.3590,1.0000,+0.00,+0.00,-0.3636,-0.2774,575
PROC,12.375,0,90,68,1.3235,1.3519,1.0000,+0.00,+0.00,-0.2785,-0.2776,525
PROC,12.625,0,115,75,1.5333,1.3882,1.0000,+0.00,+0.00,-0.4211,-0.3063,578
PROC,13.625,0,89,62,1.4355,1.3976,1.0000,+0.00,+0.00,-0.3576,-0.3166,523
PROC,13.875,0,103,59,1.7458,1.4673,1.0000,+0.00,+0.00,-0.5432,-0.3619,565
PROC,14.875,0,95,55,1.7273,1.5193,1.0000,+0.00,+0.00,-0.5333,-0.3962,562
PROC,15.125,0,111,68,1.6324,1.5419,1.0000,+0.00,+0.00,-0.4804,-0.4130,582
PROC,15.625,0,39,41,0.9512,1.4237,1.0000,+0.00,+0.00,0.0500,-0.3204,395
PROC,16.125,0,99,63,1.5714,1.4533,1.0000,+0.00,+0.00,-0.4444,-0.3452,558
PROC,16.375,0,105,65,1.6154,1.4857,1.0000,+0.00,+0.00,-0.4706,-0.3703,577
PROC,16.875,0,41,42,0.9762,1.3838,1.0000,+0.00,+0.00,0.0241,-0.2914,394
PROC,17.375,0,98,61,1.6066,1.4284,1.0000,+0.00,+0.00,-0.4654,-0.3262,563
PROC,17.625,0,106,65,1.6308,1.4688,1.0000,+0.00,+0.00,-0.4795,-0.3569,582
PROC,18.125,0,41,42,0.9762,1.3703,1.0000,+0.00,+0.00,0.0241,-0.2807,399
PROC,18.625,0,96,59,1.6271,1.4217,1.0000,+0.00,+0.00,-0.4774,-0.3200,557
PROC,18.875,0,100,60,1.6667,1.4707,1.0000,+0.00,+0.00,-0.5000,-0.3560,569
PROC,19.125,0,33,43,0.7674,1.3300,1.0000,+0.00,+0.00,0.2632,-0.2322,528
PROC,19.375,0,44,44,1.0000,1.2640,1.0000,+0.00,+0.00,-0.0000,-0.1858,393
PROC,19.875,0,93,57,1.6316,1.3375,1.0000,+0.00,+0.00,-0.4800,-0.2446,562
PROC,20.125,0,99,58,1.7069,1.4114,1.0000,+0.00,+0.00,-0.5223,-0.3001,573
PROC,20.375,0,34,43,0.7907,1.2873,1.0000,+0.00,+0.00,0.2338,-0.1934,532
PROC,20.625,0,45,45,1.0000,1.2298,1.0000,+0.00,+0.00,-0.0000,-0.1547,400
PROC,21.125,0,90,55,1.6364,1.3111,1.0000,+0.00,+0.00,-0.4828,-0.2203,558
PROC,24.125,0,84,52,1.6154,1.3720,1.0000,+0.00,+0.00,-0.4706,-0.2704,473
PROC,26.625,0,74,41,1.8049,1.4586,1.0000,+0.00,+0.00,-0.5739,-0.3311,470
PROC,27.875,0,101,78,1.2949,1.4258,1.0000,+0.00,+0.00,-0.2570,-0.3163,432
PROC,29.375,0,59,45,1.3111,1.4029,1.0000,+0.00,+0.00,-0.2692,-0.3068,464
PROC,30.625,0,76,57,1.3333,1.3890,1.0000,+0.00,+0.00,-0.2857,-0.3026,507
PROC,31.875,0,67,59,1.1356,1.3383,1.0000,+0.00,+0.00,-0.1270,-0.2675,491
PROC,33.125,0,52,44,1.1818,1.3070,1.0000,+0.00,+0.00,-0.1667,-0.2473,537
PROC,34.125,0,38,41,0.9268,1.2310,1.0000,+0.00,+0.00,0.0759,-0.1827,510
PROC,34.625,0,45,46,0.9783,1.1804,1.0000,+0.00,+0.00,0.0220,-0.1417,516
PROC,34.875,0,38,43,0.8837,1.1211,1.0000,+0.00,+0.00,0.1235,-0.0887,421
PROC,35.875,0,61,40,1.5250,1.2019,1.0000,+0.00,+0.00,-0.4158,-0.1541,491
PROC,37.125,0,70,40,1.7500,1.3115,1.0000,+0.00,+0.00,-0.5455,-0.2324,475
PROC,38.125,0,71,42,1.6905,1.3873,1.0000,+0.00,+0.00,-0.5133,-0.2886,489
PROC,38.375,0,87,49,1.7755,1.4649,1.0000,+0.00,+0.00,-0.5588,-0.3426,458
PROC,39.625,0,51,42,1.2143,1.4148,1.0000,+0.00,+0.00,-0.1935,-0.3128,446
PROC,43.625,0,81,47,1.7234,1.4765,1.0000,+0.00,+0.00,-0.5312,-0.3565,536
PROC,44.875,0,87,55,1.5818,1.4976,1.0000,+0.00,+0.00,-0.4507,-0.3753,521
PROC,45.875,0,72,45,1.6000,1.5181,1.0000,+0.00,+0.00,-0.4615,-0.3926,503
PROC,46.125,0,77,48,1.6042,1.5353,1.0000,+0.00,+0.00,-0.4640,-0.4069,543
PROC,47.125,0,69,43,1.6047,1.5492,1.0000,+0.00,+0.00,-0.4643,-0.4183,503
PROC,47.375,0,70,44,1.5909,1.5575,1.0000,+0.00,+0.00,-0.4561,-0.4259,549
PROC,48.625,0,85,46,1.8478,1.6156,1.0000,+0.00,+0.00,-0.5954,-0.4598,557
PROC,49.625,0,76,44,1.7273,1.6379,1.0000,+0.00,+0.00,-0.5333,-0.4745,506
PROC,49.875,0,92,51,1.8039,1.6711,1.0000,+0.00,+0.00,-0.5734,-0.4943,554
PROC,50.875,0,73,42,1.7381,1.6845,1.0000,+0.00,+0.00,-0.5391,-0.5033,497
PROC,51.125,0,53,43,1.2326,1.5941,1.0000,+0.00,+0.00,-0.2083,-0.4443,532
PROC,53.625,0,51,41,1.2439,1.5241,1.0000,+0.00,+0.00,-0.2174,-0.3989,583
PROC,54.875,0,52,41,1.2683,1.4729,1.0000,+0.00,+0.00,-0.2366,-0.3664,565
PROC,56.125,0,63,46,1.3696,1.4522,1.0000,+0.00,+0.00,-0.3119,-0.3555,551
PROC,57.375,0,71,47,1.5106,1.4639,1.0000,+0.00,+0.00,-0.4068,-0.3658,544
PROC,58.625,0,71,45,1.5778,1.4867,1.0000,+0.00,+0.00,-0.4483,-0.3823,536
PROC,59.625,0,51,41,1.2439,1.4381,1.0000,+0.00,+0.00,-0.2174,-0.3493,492
PROC,59.875,0,99,53,1.8679,1.5241,1.0000,+0.00,+0.00,-0.6053,-0.4005,530
PROC,60.875,0,63,71,0.8873,1.3967,1.0000,+0.00,+0.00,0.1194,-0.2965,493
PROC,61.125,0,96,90,1.0667,1.3307,1.0000,+0.00,+0.00,-0.0645,-0.2501,544
PROC,62.125,0,57,61,0.9344,1.2515,1.0000,+0.00,+0.00,0.0678,-0.1865,484
PROC,62.375,0,91,85,1.0706,1.2153,1.0000,+0.00,+0.00,-0.0682,-0.1629,533
PROC,63.375,0,60,56,1.0714,1.1865,1.0000,+0.00,+0.00,-0.0690,-0.1441,474
PROC,63.625,0,84,80,1.0500,1.1592,1.0000,+0.00,+0.00,-0.0488,-0.1250,524
PROC,64.625,0,66,53,1.2453,1.1764,1.0000,+0.00,+0.00,-0.2185,-0.1437,472
PROC,64.875,0,77,76,1.0132,1.1438,1.0000,+0.00,+0.00,-0.0131,-0.1176,518
PROC,65.875,0,70,51,1.3725,1.1895,1.0000,+0.00,+0.00,-0.3140,-0.1569,472
PROC,66.125,0,76,76,1.0000,1.1516,1.0000,+0.00,+0.00,-0.0000,-0.1255,516
PROC,67.125,0,71,51,1.3922,1.1997,1.0000,+0.00,+0.00,-0.3279,-0.1660,472
PROC,67.375,0,79,79,1.0000,1.1598,1.0000,+0.00,+0.00,-0.0000,-0.1328,514
PROC,68.375,1,58,56,1.0357,1.1350,1.3582,+0.00,+0.00,0.2694,-0.0523,483
PROC,68.625,1,89,85,1.0471,1.1174,1.3582,-22.91,-4.58,0.2587,0.0099,524
PROC,69.625,1,56,60,0.9333,1.0806,1.3582,-31.28,-9.92,0.3708,0.0821,488
PROC,69.875,1,94,91,1.0330,1.0711,1.3582,-23.95,-12.73,0.2720,0.1201,528
PROC,70.875,1,67,68,0.9853,1.0539,1.3582,-27.46,-15.67,0.3182,0.1597,502
PROC,71.125,1,106,99,1.0707,1.0573,1.3582,-21.17,-16.77,0.2367,0.1751,545
PROC,72.125,1,80,79,1.0127,1.0483,1.3582,-25.44,-18.51,0.2915,0.1984,518
