# NDIR Monitor — CSV Recording
# Port   : COM14
# Started: 2026-05-21T07:26:15.881Z
# RAW  fields: type,timestamp,phase,ch1_raw,ch2_raw,ch3_raw,ch1_filt,ch2_filt,ch3_filt,ema1,ema2,ema3,flag
# PROC fields: type,timestamp,gas_flag,raw_val1,raw_val2,ratio,ratio_filt,baseline,delta1,delta2,response1,response2,ema_out
RAW,4.000,0,578,577,413,577,578,575,576.5,576.9,580.3,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.125,1,575,576,375,577,578,478,576.6,577.2,554.7,0
RAW,4.250,0,576,574,814,577,577,575,576.7,577.1,559.8,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.375,1,576,577,686,576,577,686,576.5,577.1,591.3,0
RAW,4.500,0,577,576,313,576,576,413,576.4,576.8,546.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.625,1,577,578,631,576,576,631,576.3,576.6,567.8,0
RAW,4.750,0,577,576,700,577,576,686,576.5,576.5,597.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,4.875,1,575,573,394,577,576,631,576.6,576.4,605.8,0
RAW,5.000,0,578,577,670,577,576,631,576.7,576.3,612.1,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.125,1,576,579,757,577,577,670,576.8,576.4,626.6,0
RAW,5.250,0,577,575,317,577,576,670,576.8,576.3,637.4,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.375,1,576,578,431,576,577,431,576.6,576.5,585.8,0
RAW,5.500,0,577,576,826,577,577,670,576.7,576.6,606.9,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.625,1,573,573,613,576,576,613,576.5,576.5,608.4,0
RAW,5.750,0,578,579,401,577,576,431,576.7,576.4,564.00,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,5.875,1,576,576,676,576,576,613,576.5,576.3,576.3,0
RAW,6.000,0,579,581,588,577,576,613,576.6,576.2,585.5,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.125,1,578,578,363,578,578,588,577.00,576.6,586.1,0
RAW,6.250,0,577,576,744,578,578,588,577.2,577.00,586.6,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.375,1,576,578,750,577,578,676,577.2,577.2,608.9,0
RAW,6.500,0,578,576,293,578,578,588,577.4,577.4,603.7,0
WRN pair skip: ref_diff<REF_DIFF_MIN - lamp switching?
RAW,6.625,1,574,573,488,577,576,488,577.3,577.1,574.8,0
